FileSize_KB,ExecutionTime_s,Throughput_MBps,CPU_Cycles_Placeholder,Energy_Joules_Placeholder
100,0.027357,3.57,0.0,0.0
200,0.052567,3.72,0.0,0.0
300,0.078524,3.73,0.0,0.0
400,0.104599,3.73,0.0,0.0
500,0.131245,3.72,0.0,0.0
600,0.157984,3.71,0.0,0.0
700,0.198290,3.45,0.0,0.0
800,0.215162,3.63,0.0,0.0
900,0.236517,3.72,0.0,0.0
1000,0.261876,3.73,0.0,0.0
1100,0.299337,3.59,0.0,0.0
1200,0.322357,3.64,0.0,0.0
1300,0.346457,3.66,0.0,0.0
1400,0.383065,3.57,0.0,0.0
1500,0.412095,3.55,0.0,0.0
1600,0.463906,3.37,0.0,0.0
1700,0.459813,3.61,0.0,0.0
1800,0.492958,3.57,0.0,0.0
1900,0.513559,3.61,0.0,0.0
2000,0.545148,3.58,0.0,0.0
2100,0.564791,3.63,0.0,0.0
2200,0.592122,3.63,0.0,0.0
2300,0.618167,3.63,0.0,0.0
2400,0.645739,3.63,0.0,0.0
2500,0.675495,3.61,0.0,0.0
2600,0.700944,3.62,0.0,0.0
2700,0.727608,3.62,0.0,0.0
2800,0.786279,3.48,0.0,0.0
2900,0.780853,3.63,0.0,0.0
3000,0.807829,3.63,0.0,0.0
3100,0.835351,3.62,0.0,0.0
3200,0.862511,3.62,0.0,0.0
3300,0.888299,3.63,0.0,0.0
3400,0.913960,3.63,0.0,0.0
3500,0.942750,3.63,0.0,0.0
3600,0.971414,3.62,0.0,0.0
3700,1.005682,3.59,0.0,0.0
3800,1.054210,3.52,0.0,0.0
3900,1.060497,3.59,0.0,0.0
4000,1.077176,3.63,0.0,0.0
4100,1.104861,3.62,0.0,0.0
4200,1.137348,3.61,0.0,0.0
4300,1.161037,3.62,0.0,0.0
4400,1.184991,3.63,0.0,0.0
4500,1.212753,3.62,0.0,0.0
4600,1.238604,3.63,0.0,0.0
4700,1.270519,3.61,0.0,0.0
4800,1.291975,3.63,0.0,0.0
4900,1.320053,3.62,0.0,0.0
5000,1.349095,3.62,0.0,0.0
5100,1.361279,3.66,0.0,0.0
5200,1.388729,3.66,0.0,0.0
5300,1.425602,3.63,0.0,0.0
5400,1.455222,3.62,0.0,0.0
5500,1.485847,3.61,0.0,0.0
5600,1.547628,3.53,0.0,0.0
5700,1.593658,3.49,0.0,0.0
5800,1.557915,3.64,0.0,0.0
5900,1.590400,3.62,0.0,0.0
6000,1.617261,3.62,0.0,0.0
6100,1.653379,3.60,0.0,0.0
6200,1.670745,3.62,0.0,0.0
6300,1.700652,3.62,0.0,0.0
6400,1.724523,3.62,0.0,0.0
6500,1.758934,3.61,0.0,0.0
6600,1.795423,3.59,0.0,0.0
6700,1.807084,3.62,0.0,0.0
6800,1.833015,3.62,0.0,0.0
6900,1.859312,3.62,0.0,0.0
7000,1.884435,3.63,0.0,0.0
7100,1.921247,3.61,0.0,0.0
7200,1.941903,3.62,0.0,0.0
7300,1.966967,3.62,0.0,0.0
7400,2.021105,3.58,0.0,0.0
7500,2.031268,3.61,0.0,0.0
7600,2.051319,3.62,0.0,0.0
7700,2.075069,3.62,0.0,0.0
7800,2.114508,3.60,0.0,0.0
7900,2.125811,3.63,0.0,0.0
8000,2.155549,3.62,0.0,0.0
8100,2.182594,3.62,0.0,0.0
8200,2.247651,3.56,0.0,0.0
8300,2.268066,3.57,0.0,0.0
8400,2.265505,3.62,0.0,0.0
8500,2.294147,3.62,0.0,0.0
8600,2.324470,3.61,0.0,0.0
8700,2.345631,3.62,0.0,0.0
8800,2.374200,3.62,0.0,0.0
8900,2.410579,3.61,0.0,0.0
9000,2.424639,3.62,0.0,0.0
9100,2.452153,3.62,0.0,0.0
9200,2.481228,3.62,0.0,0.0
9300,2.523231,3.60,0.0,0.0
9400,2.532545,3.62,0.0,0.0
9500,2.591933,3.58,0.0,0.0
9600,2.595198,3.61,0.0,0.0
9700,2.617135,3.62,0.0,0.0
9800,2.645378,3.62,0.0,0.0
9900,2.678420,3.61,0.0,0.0
10000,2.694681,3.62,0.0,0.0
10100,2.727960,3.62,0.0,0.0
10200,2.756175,3.61,0.0,0.0
