FileSize_KB,ExecutionTime_s,Throughput_MBps,CPU_Cycles_Placeholder,Energy_Joules_Placeholder
100,0.003026,32.27,0.0,0.0
200,0.003756,52.00,0.0,0.0
300,0.005561,52.68,0.0,0.0
400,0.007479,52.23,0.0,0.0
500,0.009428,51.79,0.0,0.0
600,0.011258,52.05,0.0,0.0
700,0.013027,52.48,0.0,0.0
800,0.014805,52.77,0.0,0.0
900,0.017014,51.66,0.0,0.0
1000,0.017910,54.53,0.0,0.0
1100,0.019551,54.94,0.0,0.0
1200,0.021249,55.15,0.0,0.0
1300,0.023062,55.05,0.0,0.0
1400,0.025035,54.61,0.0,0.0
1500,0.026926,54.40,0.0,0.0
1600,0.029617,52.76,0.0,0.0
1700,0.031495,52.71,0.0,0.0
1800,0.033380,52.66,0.0,0.0
1900,0.034303,54.09,0.0,0.0
2000,0.035758,54.62,0.0,0.0
2100,0.037258,55.04,0.0,0.0
2200,0.039322,54.64,0.0,0.0
2300,0.040695,55.19,0.0,0.0
2400,0.042629,54.98,0.0,0.0
2500,0.044606,54.73,0.0,0.0
2600,0.006504,390.38,0.0,0.0
2700,0.049977,52.76,0.0,0.0
2800,0.051312,53.29,0.0,0.0
2900,0.051415,55.08,0.0,0.0
3000,0.053342,54.92,0.0,0.0
3100,0.054948,55.09,0.0,0.0
3200,0.056679,55.14,0.0,0.0
3300,0.058572,55.02,0.0,0.0
3400,0.060060,55.28,0.0,0.0
3500,0.063082,54.18,0.0,0.0
3600,0.067330,52.21,0.0,0.0
3700,0.065731,54.97,0.0,0.0
3800,0.068003,54.57,0.0,0.0
3900,0.069149,55.08,0.0,0.0
4000,0.071050,54.98,0.0,0.0
4100,0.072731,55.05,0.0,0.0
4200,0.074474,55.07,0.0,0.0
4300,0.076435,54.94,0.0,0.0
4400,0.081232,52.90,0.0,0.0
4500,0.083914,52.37,0.0,0.0
4600,0.081441,55.16,0.0,0.0
4700,0.083416,55.02,0.0,0.0
4800,0.085182,55.03,0.0,0.0
4900,0.087021,54.99,0.0,0.0
5000,0.088799,54.99,0.0,0.0
5100,0.090902,54.79,0.0,0.0
5200,0.092746,54.75,0.0,0.0
5300,0.020844,248.31,0.0,0.0
5400,0.098663,53.45,0.0,0.0
5500,0.111681,48.09,0.0,0.0
5600,0.099257,55.10,0.0,0.0
5700,0.101275,54.96,0.0,0.0
5800,0.103146,54.91,0.0,0.0
5900,0.104956,54.90,0.0,0.0
6000,0.106560,54.99,0.0,0.0
6100,0.108344,54.98,0.0,0.0
6200,0.089981,67.29,0.0,0.0
6300,0.111831,55.01,0.0,0.0
6400,0.115345,54.19,0.0,0.0
6500,0.115613,54.90,0.0,0.0
6600,0.122066,52.80,0.0,0.0
6700,0.121049,54.05,0.0,0.0
6800,0.121395,54.70,0.0,0.0
6900,0.122289,55.10,0.0,0.0
7000,0.130102,52.54,0.0,0.0
7100,0.126363,54.87,0.0,0.0
7200,0.127715,55.05,0.0,0.0
7300,0.129768,54.94,0.0,0.0
7400,0.130935,55.19,0.0,0.0
7500,0.133267,54.96,0.0,0.0
7600,0.135079,54.94,0.0,0.0
7700,0.136846,54.95,0.0,0.0
7800,0.139071,54.77,0.0,0.0
7900,0.109382,70.53,0.0,0.0
8000,0.142229,54.93,0.0,0.0
8100,0.144003,54.93,0.0,0.0
8200,0.145739,54.95,0.0,0.0
8300,0.147387,54.99,0.0,0.0
8400,0.148850,55.11,0.0,0.0
8500,0.012283,675.79,0.0,0.0
8600,0.152897,54.93,0.0,0.0
8700,0.154609,54.95,0.0,0.0
8800,0.156218,55.01,0.0,0.0
8900,0.157935,55.03,0.0,0.0
9000,0.160121,54.89,0.0,0.0
9100,0.162127,54.81,0.0,0.0
9200,0.163163,55.06,0.0,0.0
9300,0.165466,54.89,0.0,0.0
9400,0.115134,79.73,0.0,0.0
9500,0.168713,54.99,0.0,0.0
9600,0.170841,54.88,0.0,0.0
9700,0.172231,55.00,0.0,0.0
9800,0.174064,54.98,0.0,0.0
9900,0.175681,55.03,0.0,0.0
10000,0.115387,84.63,0.0,0.0
10100,0.180088,54.77,0.0,0.0
10200,0.191277,52.08,0.0,0.0
