FileSize_KB,ExecutionTime_s,Throughput_MBps,CPU_Cycles_Placeholder,Energy_Joules_Placeholder
100,0.002750,35.51,0.0,0.0
200,0.004284,45.59,0.0,0.0
300,0.006693,43.77,0.0,0.0
400,0.008727,44.76,0.0,0.0
500,0.010820,45.13,0.0,0.0
600,0.012635,46.37,0.0,0.0
700,0.014596,46.83,0.0,0.0
800,0.016733,46.69,0.0,0.0
900,0.018525,47.44,0.0,0.0
1000,0.020512,47.61,0.0,0.0
1100,0.022852,47.01,0.0,0.0
1200,0.024675,47.49,0.0,0.0
1300,0.026897,47.20,0.0,0.0
1400,0.028843,47.40,0.0,0.0
1500,0.033988,43.10,0.0,0.0
1600,0.034074,45.86,0.0,0.0
1700,0.035499,46.77,0.0,0.0
1800,0.037221,47.23,0.0,0.0
1900,0.039045,47.52,0.0,0.0
2000,0.041848,46.67,0.0,0.0
2100,0.043766,46.86,0.0,0.0
2200,0.048044,44.72,0.0,0.0
2300,0.051821,43.34,0.0,0.0
2400,0.052643,44.52,0.0,0.0
2500,0.052740,46.29,0.0,0.0
2600,0.054227,46.82,0.0,0.0
2700,0.056121,46.98,0.0,0.0
2800,0.058080,47.08,0.0,0.0
2900,0.060183,47.06,0.0,0.0
3000,0.062252,47.06,0.0,0.0
3100,0.064822,46.70,0.0,0.0
3200,0.062906,49.68,0.0,0.0
3300,0.071757,44.91,0.0,0.0
3400,0.070262,47.26,0.0,0.0
3500,0.074528,45.86,0.0,0.0
3600,0.076208,46.13,0.0,0.0
3700,0.078875,45.81,0.0,0.0
3800,0.078862,47.06,0.0,0.0
3900,0.081233,46.88,0.0,0.0
4000,0.084281,46.35,0.0,0.0
4100,0.091219,43.89,0.0,0.0
4200,0.089004,46.08,0.0,0.0
4300,0.091463,45.91,0.0,0.0
4400,0.091838,46.79,0.0,0.0
4500,0.093161,47.17,0.0,0.0
4600,0.098776,45.48,0.0,0.0
4700,0.098272,46.71,0.0,0.0
4800,0.100832,46.49,0.0,0.0
4900,0.044952,106.45,0.0,0.0
5000,0.107152,45.57,0.0,0.0
5100,0.107202,46.46,0.0,0.0
5200,0.108070,46.99,0.0,0.0
5300,0.110721,46.75,0.0,0.0
5400,0.112115,47.04,0.0,0.0
5500,0.115451,46.52,0.0,0.0
5600,0.117262,46.64,0.0,0.0
5700,0.123083,45.22,0.0,0.0
5800,0.124656,45.44,0.0,0.0
5900,0.129246,44.58,0.0,0.0
6000,0.126099,46.47,0.0,0.0
6100,0.128993,46.18,0.0,0.0
6200,0.129999,46.57,0.0,0.0
6300,0.131970,46.62,0.0,0.0
6400,0.135031,46.29,0.0,0.0
6500,0.137237,46.25,0.0,0.0
6600,0.142389,45.27,0.0,0.0
6700,0.142072,46.05,0.0,0.0
6800,0.143465,46.29,0.0,0.0
6900,0.144572,46.61,0.0,0.0
7000,0.146456,46.68,0.0,0.0
7100,0.154763,44.80,0.0,0.0
7200,0.150071,46.85,0.0,0.0
7300,0.155607,45.81,0.0,0.0
7400,0.173866,41.56,0.0,0.0
7500,0.156536,46.79,0.0,0.0
7600,0.162014,45.81,0.0,0.0
7700,0.162823,46.18,0.0,0.0
7800,0.163053,46.72,0.0,0.0
7900,0.166021,46.47,0.0,0.0
8000,0.167624,46.61,0.0,0.0
8100,0.167920,47.11,0.0,0.0
8200,0.173073,46.27,0.0,0.0
8300,0.177513,45.66,0.0,0.0
8400,0.177487,46.22,0.0,0.0
8500,0.178363,46.54,0.0,0.0
8600,0.179725,46.73,0.0,0.0
8700,0.184180,46.13,0.0,0.0
8800,0.185653,46.29,0.0,0.0
8900,0.191509,45.38,0.0,0.0
9000,0.191362,45.93,0.0,0.0
9100,0.189563,46.88,0.0,0.0
9200,0.194670,46.15,0.0,0.0
9300,0.196206,46.29,0.0,0.0
9400,0.197939,46.38,0.0,0.0
9500,0.199864,46.42,0.0,0.0
9600,0.202516,46.29,0.0,0.0
9700,0.210462,45.01,0.0,0.0
9800,0.206191,46.41,0.0,0.0
9900,0.208828,46.30,0.0,0.0
10000,0.210537,46.38,0.0,0.0
10100,0.219514,44.93,0.0,0.0
10200,0.214476,46.44,0.0,0.0
