File Size (KB), RAM Utilization, Max RSS (KB), Total RAM (MB), CPU Time Used (s), Throughput (B/s)
10, -2.26, 8176, -353, 0.000199, 51457286.43
20, -2.26, 8176, -353, 0.000179, 114413407.82
30, -2.26, 8176, -353, 0.000207, 148405797.10
40, -2.26, 8176, -353, 0.000328, 124878048.78
50, -2.30, 8304, -353, 0.000343, 149271137.03
60, -2.30, 8304, -353, 0.000436, 140917431.19
70, -2.30, 8304, -353, 0.000478, 149958159.00
80, -2.30, 8304, -353, 0.000564, 145248226.95
90, -2.30, 8304, -353, 0.000639, 144225352.11
100, -2.30, 8304, -353, 0.000704, 145454545.45
110, -2.33, 8432, -353, 0.000794, 141863979.85
120, -2.33, 8432, -353, 0.000903, 136079734.22
130, -2.33, 8432, -353, 0.000912, 145964912.28
140, -2.33, 8432, -353, 0.000986, 145395537.53
150, -2.33, 8432, -353, 0.001067, 143955014.06
160, -2.33, 8432, -353, 0.001165, 140635193.13
170, -2.33, 8432, -353, 0.001206, 144344941.96
180, -2.37, 8560, -353, 0.001273, 144791830.32
190, -2.37, 8560, -353, 0.001335, 145737827.72
200, -2.38, 8596, -353, 0.001433, 142916957.43
210, -2.38, 8596, -353, 0.001487, 144613315.40
220, -2.38, 8596, -353, 0.001555, 144874598.07
230, -2.38, 8596, -353, 0.001629, 144579496.62
240, -2.38, 8596, -353, 0.001699, 144649794.00
250, -2.38, 8596, -353, 0.001768, 144796380.09
260, -2.41, 8724, -353, 0.001861, 143062869.43
270, -2.41, 8724, -353, 0.001915, 144375979.11
280, -2.41, 8724, -353, 0.002000, 143360000.00
290, -2.41, 8728, -353, 0.002076, 143044315.99
300, -2.41, 8728, -353, 0.002199, 139699863.57
310, -2.41, 8728, -353, 0.002188, 145082266.91
320, -2.45, 8856, -353, 0.002298, 142593559.62
330, -2.45, 8856, -353, 0.002329, 145092314.30
340, -2.45, 8856, -353, 0.002407, 144644786.04
350, -2.45, 8856, -353, 0.002558, 140109460.52
360, -2.45, 8856, -353, 0.002561, 143943771.96
370, -2.45, 8856, -353, 0.002611, 145109153.58
380, -2.45, 8856, -353, 0.002707, 143745844.11
390, -2.49, 8984, -353, 0.002775, 143913513.51
400, -2.49, 8984, -353, 0.002826, 144939844.30
410, -2.49, 8984, -353, 0.002912, 144175824.18
420, -2.49, 8984, -353, 0.003005, 143121464.23
430, -2.49, 8984, -353, 0.003058, 143989535.64
440, -2.49, 8984, -353, 0.003213, 140230314.35
450, -2.52, 9112, -353, 0.003245, 142003081.66
460, -2.52, 9112, -353, 0.004508, 104489795.92
470, -2.52, 9112, -353, 0.003419, 140766305.94
480, -2.52, 9112, -353, 0.003455, 142263386.40
490, -2.52, 9112, -353, 0.003459, 145059265.68
500, -2.52, 9112, -353, 0.003558, 143901068.02
510, -2.52, 9112, -353, 0.003652, 143001095.29
520, -2.59, 9368, -353, 0.003697, 144030294.83
530, -2.59, 9368, -353, 0.003775, 143766887.42
540, -2.59, 9368, -353, 0.003886, 142295419.45
550, -2.59, 9368, -353, 0.003921, 143636827.34
560, -2.59, 9368, -353, 0.004087, 140308294.59
570, -2.59, 9368, -353, 0.004124, 141532492.73
580, -2.63, 9496, -353, 0.004120, 144155339.81
590, -2.63, 9496, -353, 0.004225, 142996449.70
600, -2.63, 9496, -353, 0.004290, 143216783.22
610, -2.63, 9496, -353, 0.004442, 140621341.74
620, -2.63, 9496, -353, 0.004383, 144850558.98
630, -2.63, 9496, -353, 0.004528, 142473498.23
640, -2.66, 9624, -353, 0.004567, 143499014.67
650, -2.66, 9624, -353, 0.004581, 145295786.95
660, -2.66, 9624, -353, 0.004657, 145123470.05
670, -2.66, 9624, -353, 0.004783, 143441354.80
680, -2.66, 9624, -353, 0.004867, 143069652.76
690, -2.66, 9624, -353, 0.004968, 142222222.22
700, -2.70, 9752, -353, 0.004982, 143877960.66
710, -2.70, 9752, -353, 0.005097, 142640769.08
720, -2.70, 9752, -353, 0.005138, 143495523.55
730, -2.70, 9752, -353, 0.005189, 144058585.47
740, -2.70, 9752, -353, 0.005286, 143352251.23
750, -2.70, 9752, -353, 0.005420, 141697416.97
760, -2.70, 9752, -353, 0.005461, 142508698.04
770, -2.73, 9880, -353, 0.005638, 139851011.00
780, -2.73, 9880, -353, 0.005564, 143551401.87
790, -2.73, 9880, -353, 0.005627, 143763995.02
800, -2.73, 9880, -353, 0.005733, 142892028.61
810, -2.73, 9880, -353, 0.005770, 143750433.28
820, -2.73, 9880, -353, 0.006093, 137810602.33
830, -2.77, 10008, -353, 0.006125, 138762448.98
840, -2.77, 10008, -353, 0.006093, 141171836.53
850, -2.77, 10008, -353, 0.006078, 143205001.65
860, -2.77, 10008, -353, 0.006097, 144438248.32
870, -2.77, 10008, -353, 0.006233, 142929568.43
880, -2.77, 10008, -353, 0.006267, 143788096.38
890, -2.77, 10008, -353, 0.006470, 140859350.85
900, -2.80, 10136, -353, 0.006442, 143061161.13
910, -2.80, 10136, -353, 0.006749, 138070825.31
920, -2.80, 10136, -353, 0.006610, 142523449.32
930, -2.80, 10136, -353, 0.006809, 139861947.42
940, -2.80, 10136, -353, 0.006790, 141761413.84
950, -2.80, 10136, -353, 0.006868, 141642399.53
960, -2.84, 10264, -353, 0.006992, 140594965.68
970, -2.84, 10264, -353, 0.007006, 141775620.90
980, -2.84, 10264, -353, 0.007059, 142161779.29
990, -2.84, 10264, -353, 0.007056, 143673469.39
1000, -2.84, 10264, -353, 0.007179, 142638250.45
1010, -2.84, 10264, -353, 0.007192, 143804226.92
1020, -2.87, 10392, -353, 0.007429, 140594965.68
