FileSize_KB,ExecutionTime_s,Throughput_MBps,CPU_Cycles_Placeholder,Energy_Joules_Placeholder
100,0.364884,0.27,0.0,0.0
200,0.144065,1.36,0.0,0.0
300,0.211676,1.38,0.0,0.0
400,0.284447,1.37,0.0,0.0
500,0.356739,1.37,0.0,0.0
600,0.427343,1.37,0.0,0.0
700,0.499934,1.37,0.0,0.0
800,0.571399,1.37,0.0,0.0
900,0.654769,1.34,0.0,0.0
1000,0.719592,1.36,0.0,0.0
1100,0.777534,1.38,0.0,0.0
1200,0.846650,1.38,0.0,0.0
1300,0.914256,1.39,0.0,0.0
1400,0.987808,1.38,0.0,0.0
1500,1.062401,1.38,0.0,0.0
1600,1.134687,1.38,0.0,0.0
1700,1.214251,1.37,0.0,0.0
1800,1.263476,1.39,0.0,0.0
1900,1.392214,1.33,0.0,0.0
2000,1.473099,1.33,0.0,0.0
2100,1.482408,1.38,0.0,0.0
2200,1.553702,1.38,0.0,0.0
2300,1.617765,1.39,0.0,0.0
2400,1.748933,1.34,0.0,0.0
2500,1.770556,1.38,0.0,0.0
2600,1.829323,1.39,0.0,0.0
2700,2.059165,1.28,0.0,0.0
2800,2.079630,1.31,0.0,0.0
2900,2.051915,1.38,0.0,0.0
3000,2.142282,1.37,0.0,0.0
3100,2.178884,1.39,0.0,0.0
3200,2.304334,1.36,0.0,0.0
3300,2.314188,1.39,0.0,0.0
3400,2.806281,1.18,0.0,0.0
3500,2.704681,1.26,0.0,0.0
3600,2.592271,1.36,0.0,0.0
3700,2.608315,1.39,0.0,0.0
3800,2.765294,1.34,0.0,0.0
3900,2.766023,1.38,0.0,0.0
4000,2.812570,1.39,0.0,0.0
4100,2.975757,1.35,0.0,0.0
4200,2.945644,1.39,0.0,0.0
4300,3.164557,1.33,0.0,0.0
4400,3.092613,1.39,0.0,0.0
4500,3.165841,1.39,0.0,0.0
4600,3.433894,1.31,0.0,0.0
4700,3.285122,1.40,0.0,0.0
4800,3.430171,1.37,0.0,0.0
4900,3.437517,1.39,0.0,0.0
5000,3.508836,1.39,0.0,0.0
5100,3.567067,1.40,0.0,0.0
5200,3.657079,1.39,0.0,0.0
5300,3.745296,1.38,0.0,0.0
5400,3.773249,1.40,0.0,0.0
5500,4.019372,1.34,0.0,0.0
5600,4.010615,1.36,0.0,0.0
5700,4.129369,1.35,0.0,0.0
5800,4.116138,1.38,0.0,0.0
5900,4.133946,1.39,0.0,0.0
6000,4.328688,1.35,0.0,0.0
6100,4.329041,1.38,0.0,0.0
6200,4.376063,1.38,0.0,0.0
6300,4.463356,1.38,0.0,0.0
6400,4.665439,1.34,0.0,0.0
6500,4.643421,1.37,0.0,0.0
6600,4.675892,1.38,0.0,0.0
6700,4.692230,1.39,0.0,0.0
6800,4.869123,1.36,0.0,0.0
6900,4.844226,1.39,0.0,0.0
7000,4.914399,1.39,0.0,0.0
7100,5.022393,1.38,0.0,0.0
7200,5.065931,1.39,0.0,0.0
7300,5.200866,1.37,0.0,0.0
7400,5.271529,1.37,0.0,0.0
7500,5.348478,1.37,0.0,0.0
7600,5.383581,1.38,0.0,0.0
7700,5.422029,1.39,0.0,0.0
7800,5.472136,1.39,0.0,0.0
7900,5.602385,1.38,0.0,0.0
8000,5.621696,1.39,0.0,0.0
8100,5.734713,1.38,0.0,0.0
8200,5.872569,1.36,0.0,0.0
8300,5.844760,1.39,0.0,0.0
8400,5.911423,1.39,0.0,0.0
8500,6.144616,1.35,0.0,0.0
8600,6.043482,1.39,0.0,0.0
8700,6.177483,1.38,0.0,0.0
8800,6.174747,1.39,0.0,0.0
8900,6.274282,1.39,0.0,0.0
9000,6.451119,1.36,0.0,0.0
9100,6.414804,1.39,0.0,0.0
9200,6.503085,1.38,0.0,0.0
9300,6.574528,1.38,0.0,0.0
9400,6.617770,1.39,0.0,0.0
9500,6.656252,1.39,0.0,0.0
9600,6.706073,1.40,0.0,0.0
9700,7.027151,1.35,0.0,0.0
9800,6.941957,1.38,0.0,0.0
9900,7.320458,1.32,0.0,0.0
10000,7.054483,1.38,0.0,0.0
10100,7.193377,1.37,0.0,0.0
10200,7.251730,1.37,0.0,0.0
