File Size (KB), RAM Utilization, Max RSS (KB), Total RAM (MB), User Time, System Time, CPU Time Used (s), Throughput (B/s), SHA-256 Hash
10, -2.26, 8184, -353, 0.022510, 0.003914, 0.000986, 10385395.537525, 93ad40cc918bcfa0b4b94622355a1c5d24d5c756567b9300aab5843105fa82f2
20, -2.31, 8368, -353, 0.028768, 0.004794, 0.000567, 36119929.453263, 3ed18e8e893c887bcc646e4cb2ee34d498bad21071f4fbfd9888c477e294592c
30, -2.31, 8368, -353, 0.032243, 0.004885, 0.000751, 40905459.387483, e3fe66155a87d26c1336f21ded6cc40b0e7d0ac81e41833c01edae32faa9ea65
40, -2.31, 8368, -353, 0.036418, 0.004921, 0.000957, 42800417.972832, 4a8e13eb5c9ed352505b4f5932950f25178c639f16ddd8e1bdcf745b9a1c92e8
50, -2.31, 8368, -353, 0.041336, 0.004921, 0.001160, 44137931.034483, bd62e3f311ad8384aca0bd1e80369cbebc06ee684accba21c59ddce97efa4e4b
60, -2.31, 8368, -353, 0.046789, 0.004921, 0.001325, 46369811.320755, 1264f8375e84d24ca5540a403a8ec40d1735af41d67fb5d14ca6d2caac31691f
70, -2.31, 8368, -353, 0.052755, 0.004976, 0.001426, 50266479.663394, 3b041e36e70a4c57c6f2ec913b5f5422c7c710a500a079aea005f2e364f9b65c
80, -2.31, 8368, -353, 0.058430, 0.005942, 0.001580, 51848101.265823, 79458457c6c57c0e82d0d92b3ab3370fdee95914f0313009b7b11d6fa39007b7
90, -2.35, 8496, -353, 0.065146, 0.006013, 0.001610, 57242236.024845, 5203eae76d14857909cfb647113499f09ee4fc4eec1f76601cdeea7e5face190
100, -2.35, 8496, -353, 0.072549, 0.006045, 0.001736, 58986175.115207, 4067c5c59b6e4e3af89dd7cfd061516300626f3eb6156066e3eb30d07380dd3b
110, -2.35, 8496, -353, 0.080251, 0.006045, 0.001871, 60203099.946553, 35ec7c13fc3edceeca51052933abe2651c354d42025a9af9eae4638bb2cab4ba
120, -2.35, 8496, -353, 0.088986, 0.006045, 0.002009, 61164758.586361, 365c42b74c0b9d16215cbd9399de316c5771e351c782c1b5778ab85900e7f8fd
130, -2.39, 8624, -353, 0.098294, 0.006045, 0.002154, 61801299.907149, 3de2b43a14d4de53598ab9ab9b2f495e0aaa19ba531c5b54afc4a04c51f8b445
140, -2.39, 8624, -353, 0.107145, 0.006880, 0.002402, 59683597.002498, e92a69241f1999eff2026784cd3682d51ec5dd862e4c4f535c584a6e5f52e803
150, -2.39, 8624, -353, 0.117451, 0.006880, 0.002503, 61366360.367559, 04c98e4776f9f51f30b825e094e1098c1cdc5eecab454ee5c7500e89ea3aa7b8
160, -2.39, 8624, -353, 0.128389, 0.006880, 0.002790, 58724014.336918, 671e7facb811d2b6e6ad9433e65cbbc9f4c33c7ba58894bdf462c60f979715e3
170, -2.39, 8624, -353, 0.140134, 0.006908, 0.002884, 60360610.263523, ade97b689252d8fb0aab2adf991b3c60b5f064405fb9025d954158f931a2c43c
180, -2.39, 8624, -353, 0.152214, 0.006918, 0.003001, 61419526.824392, c17394f5d821fc946fa2edb665dd79bdbecffaca80ab58aa8eb3687b46eaf53d
190, -2.39, 8624, -353, 0.165177, 0.006965, 0.003194, 60914214.151534, 6881fb2b6240eeb85e1c2a9708fac1c483ae55c4c0878b62cde8b9db17354243
200, -2.39, 8624, -353, 0.178759, 0.006965, 0.003297, 62117076.129815, c9cd1ae91642f48e1d581ac2996e784e93d069aa3fb208be9e45effdebdb61c0
210, -2.39, 8624, -353, 0.192958, 0.006998, 0.003455, 62240231.548480, 6c76a614fcbff5f9cd125610a64355278ecb03016c1b831e0242eec5954a3d9c
220, -2.39, 8624, -353, 0.207900, 0.006998, 0.003655, 61636114.911081, 56793f8275857887c22c30611661ae601e31f2f55b03fa94157c030c3f1fd39d
