File Size (KB), RAM Utilization, Max RSS (KB), Total RAM (MB), User Time, System Time, CPU Time Used (s), Throughput (B/s), SHA-256 Hash
10, -2.26, 8172, -353, 0.019987, 0.004996, 0.001008, 10158730.158730, 1086299977f6f7ffd4ed821b1267ab08b7fa3f04d32d206a1f43b6bd56a0ae37
20, -2.31, 8356, -353, 0.027164, 0.005223, 0.000641, 31950078.003120, 8806fbe0a01bf55da87e61877209794030a5df80a92763d5feb62e0081ab3e1b
30, -2.31, 8356, -353, 0.030867, 0.005223, 0.000836, 36746411.483254, 406be5ea897350b47268b33229fafb3856e8b24c554b201db8f76fa8af066753
40, -2.31, 8356, -353, 0.034514, 0.006090, 0.001076, 38066914.498141, d3dc24164616975f95c48d6fd1213c5a847510e977523560d95e4615ad8ee1bd
50, -2.31, 8356, -353, 0.039702, 0.006090, 0.001265, 40474308.300395, 13c0809b715c62a9f689117f755afaa92a0a65f0be132fa9e8ccb11ecc059f1b
60, -2.31, 8356, -353, 0.045372, 0.006090, 0.001442, 42607489.597781, 8c1150e071e9c22e4dc4cb63b8033c64265d8253786a06e2f6e07fac0431ddf2
70, -2.31, 8356, -353, 0.051467, 0.006090, 0.001556, 46066838.046272, d0e22d7728e32d3e5a50c8a504acaa54a1948872f3f9a855b7994fcf568cf831
80, -2.35, 8484, -353, 0.058140, 0.006090, 0.001710, 47906432.748538, 386044c9e25ea67ebc646faaa1faf733f52dcefba4a36dddb02aeb4f68110cde
90, -2.35, 8484, -353, 0.065185, 0.006090, 0.001753, 52572732.458642, b38d03480d0a05e3810a8572fd79a97e27c7537dbd1fa8b4cd1c6b0e2f47f934
100, -2.35, 8484, -353, 0.072681, 0.006090, 0.001878, 54526091.586794, b580a19773ae4350c30f345bf02768f54773d74db77e0eb530f93441fc389ba2
110, -2.35, 8484, -353, 0.080554, 0.006090, 0.002046, 55053763.440860, 766f51bc5a268278560beb2820f601005d336e6aeb368f46fc67d898f0bcf6d9
120, -2.35, 8484, -353, 0.088453, 0.006879, 0.002187, 56186556.927298, 9f63bd52a2c348c31286f6566b81bd4a57105cda5931f9468ebcb57b309bb268
130, -2.38, 8612, -353, 0.097789, 0.006914, 0.002315, 57503239.740821, da40e447dcf769242ccff03b67722353bf5a858b6c9dfc58928aec061d2db56b
140, -2.38, 8612, -353, 0.106654, 0.007827, 0.002612, 54885145.482389, 65a4f39979660d2891b0e78c5ee8bc7933141820feb4b18e5e50dec9a0aeee49
150, -2.38, 8612, -353, 0.117158, 0.007827, 0.002747, 55915544.230069, cc641dc9135eed537c25cc6771b8037ff1f2b1425faec6914a0639303795a044
160, -2.38, 8612, -353, 0.127498, 0.008759, 0.002964, 55276653.171390, b4088a15885fb443545af6456352cb633142cfdbed217491d58715e6ca7790b9
170, -2.38, 8612, -353, 0.139470, 0.008777, 0.003106, 56046361.880232, bde9a50795ead496fa4a8f188973bef8eceb4e9f33200419506df45c3b9c6668
180, -2.38, 8612, -353, 0.151997, 0.008825, 0.003388, 54403778.040142, 242f32bb41f40540b3c1f7d8b2415adb829237465dd778e5b9d9ccf769b3157a
190, -2.38, 8612, -353, 0.165341, 0.008825, 0.003524, 55209988.649262, f1a9ba6b3d55ed607ac40369ead1e5e5dc9b9821e610d12525117ad3b2e31f1d
200, -2.38, 8612, -353, 0.179319, 0.008867, 0.003727, 54950362.221626, 2795558c8830b3296e4ac866e2ea6da2b8bc00fbd6a7912014dc66f44138e8ce
210, -2.38, 8612, -353, 0.193924, 0.008904, 0.003724, 57744360.902256, 16af75277926633f52457ef4ad4358771e57c546886aa83b0662e67a28031734
220, -2.38, 8612, -353, 0.209134, 0.008920, 0.003996, 56376376.376376, 7e9d14f728cba690f939c3fecd5e72bf26ec48cbe3b9855277127ec9d8a4c383
230, -2.38, 8612, -353, 0.225128, 0.008925, 0.004136, 56943907.156673, 16027f3519cddbef062fe219ad933ae6e478d304028250875183642253a1109b
240, -2.38, 8612, -353, 0.242452, 0.008942, 0.004346, 56548550.391164, 854d1950f02b491c878f079c0a8169ebe0a55c8e2f48ef6264b79ea0e353f990
250, -2.38, 8612, -353, 0.257937, 0.010912, 0.004527, 56549591.340844, be70b39b48d0dcaa66261fbe954bc169f81665fa8484b347568932c102bcde32
260, -2.42, 8740, -353, 0.275116, 0.011918, 0.004718, 56430690.970750, 82ae153413f0cd4ebc487a75c6984b3c709e701f308733681049bfa65a94740e
270, -2.43, 8788, -353, 0.293076, 0.012915, 0.004789, 57732303.194821, d9e3773ef40ca2eb9eaf26a517dea8afdf2f2ba3a1fb1e1bba6f5a06a644f8b9
280, -2.43, 8788, -353, 0.311497, 0.013888, 0.005023, 57081425.442962, 99b14af75f500ee58be08a8ed89b0613346237b89e27772df40957e9090e6da0
290, -2.43, 8788, -353, 0.331614, 0.013900, 0.005200, 57107692.307692, 3c912ed48d19d3d28fdb0bceec5896663cd657c21078bf55b95c33cb222582c4
300, -2.43, 8788, -353, 0.351300, 0.014885, 0.005319, 57755217.146080, c2f05046b2b4f96af39592f87a9066b8addf4df63600f3789d79a75f2d7ad442
310, -2.43, 8788, -353, 0.372892, 0.014915, 0.005635, 56333629.103815, db2400ae88155030fffc3390caacc551ad60aab2679f7bbbe3af84a33906c144
320, -2.43, 8788, -353, 0.395051, 0.014926, 0.005747, 57017574.386637, 44e4d5cbafaefa14b3adb771a64937cd74742f0ffed70b5c6e245530ea653c67
330, -2.43, 8788, -353, 0.418263, 0.014937, 0.006107, 55333224.168986, 301c144a4f155f293730bb43730dd29fcdefedbbab636233e4e36d8f3e313105
340, -2.43, 8788, -353, 0.442751, 0.014937, 0.006313, 55149691.113575, 22e6c2109e77b021e5f6bed52a4085efd0c309f5b8c7dcd408a6fcf70d5bc127
350, -2.43, 8788, -353, 0.467288, 0.014937, 0.006089, 58860239.776646, aed05c48f8ada79896b9d22a25f616fc62273dcd9fd08fa61abe1d18c9ba202a
360, -2.43, 8788, -353, 0.492233, 0.014937, 0.006319, 58338344.674790, 6b4fcfb0c0d033a6ed428a890b9d0440f1f9d8a307a13340e20f56f224977394
370, -2.43, 8788, -353, 0.517740, 0.014937, 0.006534, 57985919.804102, 60db063d15194dec6645da4c78a8199fe74baf4f4a0fa5faec74d3e78803a738
380, -2.43, 8788, -353, 0.544304, 0.014953, 0.006749, 57655949.029486, 1a2d0c7a02d4b2318a4f681a02bc715f3c863dec370841c6161b989ed7b172a2
