File Size (KB), RAM Utilization, Max RSS (KB), Total RAM (MB), User Time, System Time, CPU Time Used (s), Throughput (B/s), SHA-256 Hash
10, -3.19, 8288, -254, 0.019460, 0.002432, 0.000901, 11365149.833518, de293058005aa382d760ef5097c8e84315bbf806b1eaf25cf8ab416c5a86b7d7
20, -3.19, 8288, -254, 0.026188, 0.002432, 0.000628, 32611464.968153, 10e41c1c0e3f5909b510a282da008d734d91bcd4ca9dedb64fdd0626a74473d0
30, -3.19, 8288, -254, 0.030096, 0.002432, 0.000856, 35887850.467290, a2d87a44bdff997345184cc40fe35fed22255b91deb3d85b1a9f47a9cbaa5e4a
40, -3.19, 8288, -254, 0.035105, 0.002432, 0.001163, 35219260.533104, 902e64e89d5183623d80e1d59133f92b4341debfb0561354f9ab3076930d6b21
50, -3.19, 8288, -254, 0.041174, 0.002432, 0.001414, 36209335.219236, 490c46a5d4365f6275a13bc638d64d1aae16e7d108af4f48a8e31ea985d1698a
60, -3.19, 8288, -254, 0.048385, 0.002432, 0.001716, 35804195.804196, 5e26260810f9b8283c9d9a72fb6a8271efdd2dfc3484906cf1922d63d2d5d26e
70, -3.19, 8288, -254, 0.056686, 0.002432, 0.002014, 35590863.952334, 138bf2480d5245724ee5a70a238d463fbaf5fc9998ce378dc7e8674a450c48ed
80, -3.19, 8288, -254, 0.066265, 0.002432, 0.002276, 35992970.123023, 320bfddfba4ce4fee90acd508a70ac200eff2b9697a57177a1bc75e1587d446b
90, -3.24, 8416, -254, 0.077001, 0.002432, 0.002609, 35323878.880797, 9d04251762dbd23500157a6498a2d3647c0df7b6ac60deb66c30f0c942ddfc91
100, -3.24, 8416, -254, 0.088952, 0.002432, 0.002912, 35164835.164835, 556e6fc3e6e64e581158d2b3b22a1ab89c7e1699426fc9c3b0705245bb2d0965
110, -3.24, 8416, -254, 0.101941, 0.002432, 0.003120, 36102564.102564, 7bda4604c4e3c4ec568dd3499b46e53898afe8294c1c6e42a64169388646ad22
120, -3.24, 8416, -254, 0.116065, 0.002432, 0.003420, 35929824.561404, d70a00f5b07eeb57c722163840c768099fa6af3b495cff5b2137b35a2bb0c8b3
130, -3.28, 8544, -254, 0.131712, 0.002432, 0.003698, 35997836.668469, 5ec50f9c6c9c70ad1ac8a3ae8ed5ea3d478681e2ddc7b789f61888bc6b307dfe
140, -3.28, 8544, -254, 0.148279, 0.002432, 0.004055, 35353884.093711, d394a454a6bd37ac03cfb7feee343c9e8adb49b84f8a0c88563b3c98a15cecd3
150, -3.28, 8544, -254, 0.165863, 0.002432, 0.004296, 35754189.944134, 3955bfcdeea6b2233ea614bac3dae7835fddc5ff9415e462d2aa8fe24270e25c
160, -3.28, 8544, -254, 0.184041, 0.003050, 0.004559, 35937705.637201, 936a022b6e7e1574357f82b67c4c972e172940f1ae87287af6d840b7b8a91cc1
170, -3.28, 8544, -254, 0.202927, 0.004058, 0.004881, 35664822.782217, 92e8c19b9bbee60d6d696134d369f035ba7354abece7855708b3016eed310f05
180, -3.28, 8544, -254, 0.222001, 0.006054, 0.005141, 35852946.897491, f0e950ac68a2079a5cd4654cbd2b36d6ffbde95482398eae3370a7444bd09928
190, -3.28, 8544, -254, 0.244155, 0.006054, 0.005409, 35969680.162692, 6dd270ab57dab20165bb9634e505c218129eeadbd8f542453bda7742805f13ce
200, -3.28, 8544, -254, 0.267431, 0.006054, 0.005692, 35980323.260717, 6d19a6a4fbf71a041d7226a94c32e5c3a61540b1db1fcdabf979245e0eac99f5
210, -3.28, 8544, -254, 0.291949, 0.006054, 0.006033, 35643958.229736, 200eb6be3eba63e267ea31ccde4bb38faa72175d687b1ac65e1d1360e3f2ee0f
220, -3.28, 8544, -254, 0.317517, 0.006054, 0.006308, 35713379.835130, 2fe7e689763fe8b789d8278ee61f03c9646f55a5e25691ecae3d29a684c5d4fe
230, -3.28, 8544, -254, 0.344331, 0.006054, 0.006606, 35652437.178323, 2cf1dd26efbc78abad4d90c70078e979a0272e2542c34a0257a20a8cb64606b2
240, -3.28, 8544, -254, 0.372211, 0.006054, 0.006824, 36014067.995311, ee3fc51dcc849df4de14b7b9ba45cdfaaa5dbc196f98cf656b6ceb518e4b1a8d
250, -3.28, 8544, -254, 0.401239, 0.006054, 0.007129, 35909664.749614, 2e4f716a93f87dd389a51d01f40c0b47dbc6af959b366c2e0d76f67f964b5b34
260, -3.33, 8672, -254, 0.431574, 0.006054, 0.007398, 35988104.893214, dcd915562a9e68f2d8ba5eee45c97aea3530fb38f046b942ab32c84fc8db169c
270, -3.35, 8712, -254, 0.462966, 0.006054, 0.007683, 35985942.991019, f4f4134a3fd75f88d7273fc4f1420e5fa8c719876963b927ef0b57e2b2dc3620
280, -3.35, 8712, -254, 0.495529, 0.006054, 0.008000, 35840000.000000, 4b434c7c19b846881b1067d8062019138c7950c67faab405ef4dfa77d0c04bdd
290, -3.35, 8712, -254, 0.529356, 0.006054, 0.008278, 35873399.371829, 6937f2c9df8d7f06ebd3317c1383e76ae5d27a6929814e39be8c4ab16cf6b32e
300, -3.35, 8712, -254, 0.563243, 0.006965, 0.008579, 35808369.273808, c68830553a42d67705e2691bb58cf7f4875e58a0c8347098981ad015520f9e1f
310, -3.35, 8712, -254, 0.599849, 0.006965, 0.008818, 35999092.764799, b15fa6e5a4ac34bb42a059d953250c3e66d0b05d30bcd16d3bf38e0f0ea22049
320, -3.35, 8712, -254, 0.636878, 0.007948, 0.009135, 35870826.491516, 7635127d93f2663fab70bfd70960c1ceff0b8ec2cd8c81c031ecd48b0524fe5f
330, -3.35, 8712, -254, 0.675148, 0.007954, 0.009438, 35804195.804196, b70c6d2ef0d2d36b7949363404da33a56be5544cddca142f83b585ae91d043f1
340, -3.35, 8712, -254, 0.714586, 0.007961, 0.009852, 35339017.458384, 05ca2fff3c7d1a81414f8fb0bf7a70d8051af5fd0216485648aff284e054495a
350, -3.35, 8712, -254, 0.755272, 0.007971, 0.010073, 35580264.072272, 15ea10ecc1d16845598856880397fddd5207ad4b8ae629b7de155e33e22ff6f3
360, -3.35, 8712, -254, 0.795346, 0.009941, 0.010357, 35593318.528531, 744c66588117757b343b53b8f919a89322b42d4995a1b094bcb3e7387fe884d9
370, -3.35, 8712, -254, 0.837496, 0.010928, 0.010649, 35578927.598836, dd8f51168b135b8c80d54ff0914e4276e4a5bcd0fc58af00b98e2a8dc68fbc1b
380, -3.35, 8712, -254, 0.880675, 0.011927, 0.010869, 35800901.646886, a50be78f1b44731d4a519d679b47b153cc9ef067cbb4f291e5b91df94d0280f8
390, -3.35, 8712, -254, 0.925052, 0.012903, 0.011215, 35609451.627285, 26693ed342c0aaca8c6ab1c6958ef94dafcea89492b3732392b37a0cc38a37e4
400, -3.35, 8712, -254, 0.971688, 0.012916, 0.011511, 35583355.051690, ec2199a65d3352e5129433047f1a667e8fa6c848509df2d2af0af1025ffcc12d
410, -3.35, 8712, -254, 1.018273, 0.013908, 0.011700, 35883760.683761, 78c9b0368d9192dda1a0f3839d9bc5afa9a76cb483036def255a4220c5362310
420, -3.35, 8712, -254, 1.067659, 0.013917, 0.012425, 34614084.507042, 0669a0d9e2661891ec0d87f9157596783e4f50a64cf91eb2b6fe6f16debaf9b2
430, -3.35, 8712, -254, 1.116555, 0.015894, 0.012363, 35615950.820998, 9166237494857b80d12f78a027d4e6dd8b0187d4b4b8c8127cf05b5608bf055e
440, -3.35, 8712, -254, 1.167801, 0.015901, 0.012787, 35235786.345507, 4e075d9d6e37a4e766ebef987d54dec6b2ee625b7fd3b437b94f08738083f297
450, -3.35, 8712, -254, 1.220038, 0.015901, 0.012984, 35489833.641405, 84b62891905ed88f7cb3138f985e22c04ca064a978a264a22cad17e5d3a52408
460, -3.35, 8712, -254, 1.273358, 0.015904, 0.013254, 35539459.785725, 4e8c075dfcbff65e4b1d2cba3ea1e557d14b1df03dab0466237e3b5a1498ea22
470, -3.35, 8712, -254, 1.326945, 0.016897, 0.013491, 35674153.139130, ec5c135a8d5c18124e35e9034e303f16e7782ffcef5d88efcc917da67336774c
480, -3.35, 8712, -254, 1.381601, 0.017891, 0.013807, 35599333.671326, 22234beb8fd8cabddfdb32354269f16f73008c6c36033432c429639625a9321e
490, -3.35, 8712, -254, 1.438301, 0.017891, 0.014157, 35442537.260719, b0eedb97cb355ba31c32394222e981face0fda617f126e44c81dfba108437e6c
500, -3.35, 8712, -254, 1.496165, 0.017906, 0.014389, 35582736.812843, bc3af1d61997baa4c30765fc08a4bec0fdf710d5c2137cfb873c388f56e63577
510, -3.40, 8840, -254, 1.555145, 0.017921, 0.014590, 35794379.712132, d79090a8c84ceaca4e23bcea47d03e8ea2ccd19fddb2cd329170d17b05287811
520, -3.40, 8840, -254, 1.615622, 0.017921, 0.014966, 35579313.109715, fa696877d179592cc1a63cadf67a402c715fdbf2319e18b402529187ab67851f
530, -3.45, 8968, -254, 1.676423, 0.018914, 0.015242, 35606875.738092, a2450cda1858bc6f9438821b943a12535c475d7953f923a795176cb2fa8d2245
540, -3.45, 8968, -254, 1.739105, 0.018914, 0.015564, 35528141.865844, e5526e2adeed8feead43ca81e712e40897c5ded885e731ed992b5c97bc803a45
550, -3.45, 8968, -254, 1.803047, 0.018916, 0.015797, 35652339.051719, be2104c2154df6091f354bb04396ace134176829ae30ffc0555885f4c0d7d4e1
560, -3.45, 8968, -254, 1.895389, 0.019940, 0.016148, 35511518.454298, 99f3f8ca2951f879bdb9c8685808983386711a19877f3a205848e48c08c3407a
570, -3.45, 8968, -254, 1.960204, 0.021923, 0.016443, 35497172.048896, 8f4741a3228480772f215fb221097f4f4fe69b4c8e83ed27acb455674ddcb260
580, -3.45, 8968, -254, 2.027672, 0.021923, 0.016787, 35379758.146185, de0c8614db46c813e1e676d24bfeb44061461acf35696049980e0bfcaf14d04c
590, -3.45, 8968, -254, 2.095959, 0.022923, 0.017251, 35021737.870268, be5288f421a8cbd6e3b6eeb7d510557e366cce54c3fdf6c61e94dd205d6cb18d
600, -3.45, 8968, -254, 2.165681, 0.022923, 0.017253, 35611198.052513, 5cb883f0cc859012a88df06a521c2b07213370ff503ee714a41bb7d6efacc0e6
610, -3.45, 8968, -254, 2.236487, 0.022923, 0.017556, 35579858.737753, 124390de9e1e289f97951a97b5d7fbb65c64fd56893124d13ca8621a87750de3
620, -3.45, 8968, -254, 2.306024, 0.026895, 0.017951, 35367389.003398, c1d941eb8c75186aa89446c21489fb760d9194b18cabd8b211b5106e9b4e5353
630, -3.45, 8968, -254, 2.379259, 0.029902, 0.018111, 35620341.229087, 112c23a659978bf7bbc4e821d5c45803ceb7a91e5d40a8bcff32a9126f33bcca
640, -3.50, 9096, -254, 2.453744, 0.029911, 0.018594, 35245778.208024, c39c1802dbffe31ea47bb32763f631b5ca337444a028d23749c91fdd3ee86aaa
650, -3.50, 9096, -254, 2.529524, 0.029911, 0.018947, 35129571.963899, f138bef7b4c5b2a830378b0f2362c163b90d1e9835c2454e2f47d8392f04d054
660, -3.50, 9096, -254, 2.604264, 0.031893, 0.019178, 35240379.601627, 33d0ce420079f6b469f64333fccd1b2432a0bb69dd7c6c6cb4d10d0d57e563f2
