File Size (KB), RAM Utilization, Max RAM used (KB), Total RAM available (MB), User CPU time, System CPU time, Total CPU time, CPU time used (seconds), Throughput (bytes/sec), SHA-256 Hash (hex)
10, 0.11, 8540, 7851, 0.028703, 0.009567, 0.000000, 0.000869, 11783659.378596, 5a1a080c6088549d4422de8e399402426f5b5e986d9351867f612c5cf171142a
20, 0.11, 8540, 7851, 0.033753, 0.009799, 0.000000, 0.000332, 61686746.987952, 3762ac5c70c81bee41066f8a4cf80bebb6429c2a77b801b1b85211899500d29f
30, 0.11, 8540, 7851, 0.036985, 0.009799, 0.000000, 0.000402, 76417910.447761, 577781a578a9fdf851cb4b1cb904aab5e247285f4934afe089bc614145e33939
40, 0.12, 9296, 7851, 0.040865, 0.009940, 0.000000, 0.000455, 90021978.021978, b99bba4a4c84edcf83d7af6100dc06c22977cbb3714ad7bae9a40c95a3ff2a32
50, 0.12, 9296, 7851, 0.045426, 0.009971, 0.000000, 0.000543, 94290976.058932, 713beff6a5c2fc3c224a7244963602b810af93e01d494faff3b85da65a8f9792
60, 0.12, 9296, 7851, 0.050304, 0.010060, 0.000000, 0.000614, 100065146.579805, 3f026e3d1993cdf9e0c56c28d741fa3389784fc51ed1e9bc534032400eaf6655
70, 0.12, 9296, 7851, 0.055790, 0.010060, 0.000000, 0.000670, 106985074.626866, 2a9dd60865d1425c263e0c6e7336f0c22733ad7c0da446587ac3abf6a79c1e88
80, 0.12, 9296, 7851, 0.061987, 0.010060, 0.000000, 0.000770, 106389610.389610, 089d7ffb189a2415039cdfab0224b0767625a6a976388d7f24bd62d4ce8780d7
90, 0.12, 9296, 7851, 0.068831, 0.010060, 0.000000, 0.000854, 107915690.866511, 23f80e9cf2bad682d5e0be3b0aa9b6e62db28e0d41daf55e909ec670c5272162
100, 0.12, 9296, 7851, 0.076427, 0.010060, 0.000000, 0.000974, 105133470.225873, bf0a52f7190fa3be29a77c06ed62d801d8392040c503aef12080ff27e0fb4923
110, 0.12, 9296, 7851, 0.084810, 0.010060, 0.000000, 0.001065, 105765258.215962, a0bfa349fb0cda68b6ec3140be4ea1289f4de5d10da3abf63f510bf54d468144
120, 0.12, 9296, 7851, 0.093927, 0.010060, 0.000000, 0.001241, 99016921.837228, 5a57bdaee0a0ac90bbe5353971da8bc1a000b09ddae600859535c49e5789cd83
130, 0.12, 9392, 7851, 0.103573, 0.010568, 0.000000, 0.001412, 94277620.396601, 7f106a748abaefd6961efe10f399187f5dcdae1eb73de9e6c77dfb4db4e6177a
140, 0.12, 9396, 7851, 0.114540, 0.010568, 0.000000, 0.001452, 98732782.369146, a2b6bfa0e8c6450b249fb413e998f2eb3db8eb286606c54ed664a9532328382e
150, 0.12, 9396, 7851, 0.125882, 0.010568, 0.000000, 0.001464, 104918032.786885, d95bbcdf0b303b1108c0b1f6d84997d1dd4c6f9601786e97a89b94b00923ca3c
160, 0.12, 9396, 7851, 0.137049, 0.011420, 0.000000, 0.001561, 104958360.025625, eb06ab28814d96688c8ae185c0797fab1ca834f389ebb31ce5e0722df3994f71
170, 0.12, 9396, 7851, 0.150358, 0.011420, 0.000000, 0.001642, 106017052.375152, 4d39aedf311747009cb31bfb4c9c7df8b047d1b761940552a12ca1734b87f18d
180, 0.12, 9396, 7851, 0.164071, 0.011420, 0.000000, 0.001791, 102914572.864322, 50d70d186407376509a8a0006981a2624f50a6401dfe27e6e519c9cd292550ea
190, 0.12, 9396, 7851, 0.178617, 0.011420, 0.000000, 0.002081, 93493512.734262, 1647a4829a699d593c7b08d15ba3889d04b2ca32fdf5372c8c656f067bfa3274
200, 0.12, 9396, 7851, 0.194033, 0.011420, 0.000000, 0.002134, 95970009.372071, ac10f5c1278a23bf114c45fc11b75343a8eb47987d600dc0081a9048d6b21439
210, 0.12, 9396, 7851, 0.210217, 0.011420, 0.000000, 0.002352, 91428571.428571, 76cc44ee49c59a5ea5f3156ffe9580ac149f9fb023a3add66edbb3406f3327c6
220, 0.12, 9396, 7851, 0.226791, 0.011420, 0.000000, 0.002361, 95417196.103346, b74a4056952cb8933f4ad5450ddf3d32e4d4d724ccadba11d324a36e59cea440
230, 0.12, 9396, 7851, 0.244257, 0.011420, 0.000000, 0.002425, 97121649.484536, baf480ad83f9937e7798c14bc7533a052886bd0d333e8d11c042568c91c15218
240, 0.12, 9396, 7851, 0.262524, 0.011420, 0.000000, 0.002543, 96641761.698781, 79cda0f4e75389ed98317e8fb563c206dc2a1917abc431bc58db2aa085198165
250, 0.12, 9396, 7851, 0.281296, 0.011420, 0.000000, 0.002584, 99071207.430341, d9b8f3c9c6af26685cb0d49ce2d66bce815ab096e589f93779b0c2613e32bede
260, 0.12, 9656, 7851, 0.300871, 0.011420, 0.000000, 0.002723, 97774513.404333, 04c3a68610f4341c3da7d053003c5c718cfcc36ca89dabee31a94661cca5d9c1
270, 0.12, 9656, 7851, 0.321644, 0.011420, 0.000000, 0.002900, 95337931.034483, fc733c008c3538ec0c8671d631fb8381001bb6f1e738447cf21c690a44a2f906
280, 0.12, 9656, 7851, 0.342938, 0.011420, 0.000000, 0.002921, 98158165.011982, f904d478ba6550ac23de750191fbfd0e94f0d780ec4d4ff5577be308fde76115
290, 0.12, 9656, 7851, 0.364732, 0.011420, 0.000000, 0.003131, 94845097.412967, 329a594f765888f540a7d426dfdc5dafa2ad3ecbecaa0a4041423a0e4f9c4dc4
300, 0.12, 9656, 7851, 0.387162, 0.011420, 0.000000, 0.003198, 96060037.523452, aa6f88138eb56913ca157be60f941d44c46dd0895c868423dc0d13ceb4cf99bb
310, 0.12, 9656, 7851, 0.410797, 0.011420, 0.000000, 0.003316, 95729794.933655, 6d7a092197563002b4f95f104b46f50e32a92e8c73734b9df6acf8d4f742f314
