File Size (KB), RAM Utilization, Max RAM used (KB), Total RAM available (MB), User CPU time, System CPU time, Total CPU time, CPU time used (seconds), Throughput (bytes/sec), SHA-256 Hash (hex)
10, 0.11, 8584, 7851, 0.020399, 0.003220, 0.000000, 0.001119, 9151027.703307, 1b3f8b3db05b7589a519d80aea1793d53be92c43d3fc82885105a301da69df6d
20, 0.11, 8584, 7851, 0.027288, 0.003411, 0.000000, 0.001175, 17429787.234043, 6e0e8e146ba7703e4886ba430cc9d378fb64454d6bcbb72e88d32b7c5dbb1274
30, 0.11, 8584, 7851, 0.031684, 0.004370, 0.000000, 0.001645, 18674772.036474, 27d1f8a426561b20f8bd3847918b8471bffb632462f7bb95faa8451a544cb57d
40, 0.11, 8584, 7851, 0.038636, 0.004415, 0.000000, 0.002258, 18139946.855624, 9bc5db7f808211b34f46bce1f623c7976878b43ba4c35442b8e58436a573c517
50, 0.11, 8584, 7851, 0.047231, 0.004415, 0.000000, 0.002728, 18768328.445748, 56e85807e7ccf068ba6846fa6747cb80aa83a0e74ed22fec3bf0756ac8498a0e
60, 0.11, 8584, 7851, 0.057415, 0.004415, 0.000000, 0.003271, 18783246.713543, 5d5e383f8ec9a5b9bf88ea0277c1825c076f733fa724afe470aaf9b0ec2ee352
70, 0.11, 8584, 7851, 0.069298, 0.004415, 0.000000, 0.003854, 18598858.329009, 23178162b2480c3a73381455c8583230b640cf832eedd915da0fb3030fcce9dd
80, 0.11, 8584, 7851, 0.082781, 0.004415, 0.000000, 0.004413, 18563335.599366, 6a3f50a760658a6eb22246e69009de8c4706b1a291d4715d5b40a97de6162035
90, 0.11, 8584, 7851, 0.097948, 0.004415, 0.000000, 0.004899, 18812002.449479, 31d22e8b04cfe860e337f33af902214999943f941a090931a11cf646c960ae7f
100, 0.11, 8584, 7851, 0.114719, 0.004415, 0.000000, 0.005532, 18510484.454085, a5f48e80e44b41944bf8fdc12b7ebe897204f5e3ebd5a343b5e7c86609c05046
110, 0.11, 8584, 7851, 0.133185, 0.004415, 0.000000, 0.006070, 18556836.902801, 2ba3fe7652d4a7d3a5536604203d689a75ca2d3b619201fb70230cd2d0e11099
120, 0.11, 8584, 7851, 0.153210, 0.004415, 0.000000, 0.006607, 18598456.182836, 7b84198b25305c77fc7d19ccd578d5072d20671a0df832a72a19013a95c47686
130, 0.12, 9316, 7851, 0.175065, 0.004415, 0.000000, 0.007131, 18667788.528958, b2b3c7f2451c40d52dd8dfaee66c508a1edffa041c964ef66c67159778947e46
140, 0.12, 9316, 7851, 0.198683, 0.004415, 0.000000, 0.007689, 18644817.271427, 4eb7c7f236e7fd567ad7555bb1a840df93929d69d04bc97eed291e82a186e48c
150, 0.12, 9316, 7851, 0.223710, 0.004415, 0.000000, 0.008225, 18674772.036474, cf3feddc215c9c1e98dbdda44977fcc518145b3c062a605139db204b9dd5de1a
160, 0.12, 9316, 7851, 0.250525, 0.004415, 0.000000, 0.008808, 18601271.571299, dfef7cbbaada1c3eb6de64be65ae610bf9574dc8d95a02e56d2f816d78c45acc
170, 0.12, 9316, 7851, 0.279234, 0.004415, 0.000000, 0.009554, 18220640.569395, 733b8b8044cb5d6a8f78afc19da8a4cb2e95202d0e4b59d0eca702254868a35a
180, 0.12, 9316, 7851, 0.309531, 0.004415, 0.000000, 0.009925, 18571284.634761, 5b7732f54e92a40df3314dc6d65e23aa22c074e739b3ea7a42e46d845bb2311b
190, 0.12, 9316, 7851, 0.341334, 0.004415, 0.000000, 0.010379, 18745543.886694, 5ab27a94d0be420a711ca4236e4d177e0125f412d5976c325768c09654a4bc7a
200, 0.12, 9316, 7851, 0.373871, 0.005135, 0.000000, 0.010897, 18794163.531247, 824fe3e1c4e3182eec38049011f4600d0bcfb73aa84cbfe06a48f810192f606f
210, 0.12, 9316, 7851, 0.408041, 0.006166, 0.000000, 0.011550, 18618181.818182, 6dd16c07192a07cf347a81a7caebe2c76a71ec2e7677e89b450a61dac44f831e
220, 0.12, 9316, 7851, 0.444809, 0.006166, 0.000000, 0.012007, 18762388.606646, b94e2a9eb986831dc0fb4d2b0533f2a6de19c1f944ed1fcbf6f5449b3f43c770
